trace_id,t,throughput_kbps
italy_1092,0,2873.2799999999997
italy_1092,1,3118.56
italy_1092,2,2943.3599999999997
italy_1092,3,3036.8
italy_1092,4,2955.04
italy_1092,5,3001.7599999999998
italy_1092,6,3141.92
italy_1092,7,2826.56
italy_1092,8,2873.2799999999997
italy_1092,9,3083.52
italy_1092,10,2931.68
italy_1092,11,3410.56
italy_1092,12,3725.9199999999996
italy_1092,13,3667.5199999999995
italy_1092,14,3457.28
italy_1092,15,3433.9199999999996
italy_1092,16,3468.96
italy_1092,17,3667.5199999999995
italy_1092,18,3562.4
italy_1092,19,2768.16
italy_1092,20,4438.4
italy_1093,0,3083.52
italy_1093,1,3328.8
italy_1093,2,2896.64
italy_1093,3,2931.68
italy_1093,4,3130.2400000000002
italy_1093,5,2966.72
italy_1093,6,2884.96
italy_1093,7,3176.96
italy_1093,8,3223.68
italy_1093,9,3258.7200000000003
italy_1093,10,3235.3599999999997
italy_1093,11,3655.84
italy_1093,12,3340.4800000000005
italy_1093,13,3433.9199999999996
italy_1093,14,3445.6
italy_1093,15,3492.3199999999997
italy_1093,16,3095.2
italy_1093,17,3071.84
italy_1093,18,3083.52
italy_1093,19,3106.88
italy_1093,20,3003.4285714285716
italy_1094,0,2756.48
italy_1094,1,2744.8
italy_1094,2,2978.4
italy_1094,3,3398.88
italy_1094,4,3258.7200000000003
italy_1094,5,3515.6800000000003
italy_1094,6,2931.68
italy_1094,7,3398.88
italy_1094,8,3200.32
italy_1094,9,3118.56
italy_1094,10,2417.7599999999998
italy_1094,11,3562.4
italy_1094,12,3095.2
italy_1094,13,3176.96
italy_1094,14,3083.52
italy_1094,15,2838.2400000000002
italy_1094,16,2733.12
italy_1094,17,2931.68
italy_1094,18,3165.2799999999997
italy_1094,19,3130.2400000000002
italy_1094,20,2955.04
italy_1095,0,3071.84
italy_1095,1,3165.2799999999997
italy_1095,2,3188.6400000000003
italy_1095,3,3118.56
italy_1095,4,3083.52
italy_1095,5,3340.4800000000005
italy_1095,6,3188.6400000000003
italy_1095,7,3398.88
italy_1095,8,3632.4800000000005
italy_1095,9,3328.8
italy_1095,10,2791.52
italy_1095,11,3025.12
italy_1095,12,3048.48
italy_1095,13,2557.92
italy_1095,14,3176.96
italy_1095,15,2931.68
italy_1095,16,2990.08
italy_1095,17,3118.5600000000004
italy_1095,18,3025.12
italy_1095,19,2990.08
italy_1095,20,2621.511111111111
italy_1124,0,25672.64
italy_1124,1,30438.079999999998
italy_1124,2,30800.159999999996
italy_1124,3,31092.159999999996
italy_1124,4,29375.2
italy_1124,5,30636.640000000003
italy_1124,6,28265.6
italy_1124,7,28569.28
italy_1124,8,26186.56
italy_1124,9,27903.52
italy_1124,10,30181.120000000003
italy_1124,11,31138.879999999997
italy_1124,12,30952.0
italy_1124,13,30531.52
