trace_id,t,throughput_kbps
norway_1100,0,969.4399999999999
norway_1100,1,2896.6400000000003
norway_1100,2,3328.8
norway_1100,3,3293.7599999999998
norway_1100,4,1903.8400000000001
norway_1100,5,6272.16
norway_1100,6,8304.48
norway_1100,7,8596.48
norway_1100,8,8748.32
norway_1100,9,8444.64
norway_1100,10,8783.36
norway_1100,11,8339.52
norway_1100,12,8654.880000000001
norway_1100,13,8176.0
norway_1100,14,8724.960000000001
norway_1100,15,8211.04
norway_1100,16,7393.44
norway_1100,17,4800.4800000000005
norway_1100,18,5769.92
norway_1100,19,6248.8
norway_1100,20,7977.44
norway_1100,21,8269.439999999999
norway_1100,22,8689.92
norway_1100,23,350.4
norway_1101,0,315.36
norway_1101,1,4263.2
norway_1101,2,8362.880000000001
norway_1101,3,7954.08
norway_1101,4,7475.2
norway_1101,5,6599.2
norway_1101,6,7113.12
norway_1101,7,7148.160000000001
norway_1101,8,8070.88
norway_1101,9,8082.56
norway_1101,10,8549.76
norway_1101,11,8082.56
norway_1101,12,8292.8
norway_1101,13,7907.360000000001
norway_1101,14,8176.0
norway_1101,15,8596.48
norway_1101,16,8176.0
norway_1101,17,8736.64
norway_1101,18,8059.2
norway_1101,19,8549.76
norway_1101,20,8479.68
norway_1101,21,9192.16
norway_1101,22,5139.2
norway_1102,0,957.76
norway_1102,1,3760.96
norway_1102,2,4800.4800000000005
norway_1102,3,4403.36
norway_1102,4,5910.08
norway_1102,5,7078.08
norway_1102,6,8339.52
norway_1102,7,8386.24
norway_1102,8,8269.439999999999
norway_1102,9,8327.84
norway_1102,10,8211.039999999999
norway_1102,11,7977.44
norway_1102,12,8304.48
norway_1102,13,8105.92
norway_1102,14,8561.439999999999
norway_1102,15,8374.560000000001
norway_1102,16,8526.4
norway_1102,17,8876.8
norway_1102,18,7708.8
norway_1102,19,7942.4
norway_1102,20,8316.16
norway_1102,21,7743.839999999999
norway_1102,22,3270.4
norway_1103,0,3468.96
norway_1103,1,5349.44
norway_1103,2,5980.16
norway_1103,3,6762.719999999999
norway_1103,4,7451.839999999999
norway_1103,5,8211.039999999999
norway_1103,6,8164.32
norway_1103,7,7954.08
norway_1103,8,8117.6
norway_1103,9,7802.24
norway_1103,10,8199.36
norway_1103,11,8234.4
norway_1103,12,8362.880000000001
norway_1103,13,8316.16
norway_1103,14,7650.4
norway_1103,15,8222.72
norway_1103,16,8035.839999999999
norway_1103,17,8409.6
norway_1103,18,8771.68
norway_1103,19,7732.160000000001
norway_1103,20,7930.719999999999
norway_1103,21,5810.8
norway_1132,0,5010.719999999999
norway_1132,1,6517.4400000000005
norway_1132,2,7183.2
norway_1132,3,7521.92
norway_1132,4,7545.280000000001
norway_1132,5,7813.92
norway_1132,6,7486.88
norway_1132,7,7638.719999999999
norway_1132,8,7592.0
norway_1132,9,7708.8
norway_1132,10,8024.160000000001
norway_1132,11,7825.6
norway_1132,12,7393.44
norway_1132,13,7486.88
norway_1132,14,7101.44
norway_1132,15,7685.44
norway_1132,16,7463.5199999999995
norway_1132,17,7300.0
norway_1132,18,7136.4800000000005
norway_1132,19,7767.2
norway_1132,20,7358.4
norway_1132,21,7174.857142857143
norway_1133,0,1284.8
norway_1133,1,1658.56
norway_1133,2,2639.68
norway_1133,3,3270.4
norway_1133,4,3550.72
norway_1133,5,6155.36
norway_1133,6,7813.92
norway_1133,7,7486.88
norway_1133,8,7755.5199999999995
norway_1133,9,7568.639999999999
norway_1133,10,7486.88
norway_1133,11,7405.12
norway_1133,12,6984.639999999999
norway_1133,13,7638.719999999999
norway_1133,14,6844.4800000000005
norway_1133,15,7919.039999999999
norway_1133,16,7241.6
norway_1133,17,3609.12
norway_1133,18,0.0
norway_1133,19,18688.0
norway_1133,20,7124.8
norway_1133,21,7977.44
norway_1133,22,7650.4
norway_1133,23,817.6
norway_1134,0,1156.3200000000002
norway_1134,1,2055.68
norway_1134,2,3527.3599999999997
norway_1134,3,4017.9200000000005
norway_1134,4,5104.16
norway_1134,5,5664.8
norway_1134,6,4835.5199999999995
norway_1134,7,5606.4
norway_1134,8,5968.4800000000005
norway_1134,9,6575.839999999999
norway_1134,10,6459.04
norway_1134,11,7650.4
norway_1134,12,7837.280000000001
norway_1134,13,7708.8
norway_1134,14,7089.76
norway_1134,15,7568.639999999999
norway_1134,16,7218.24
norway_1134,17,7884.0
norway_1134,18,8176.0
norway_1134,19,7580.32
norway_1134,20,7848.960000000001
norway_1134,21,5810.8
norway_1135,0,1553.44
norway_1135,1,2008.9599999999998
norway_1135,2,2920.0
norway_1135,3,3445.6
norway_1135,4,4461.76
norway_1135,5,5769.92
norway_1135,6,7662.08
norway_1135,7,7533.6
norway_1135,8,7428.4800000000005
norway_1135,9,7556.960000000001
norway_1135,10,7930.719999999999
norway_1135,11,7533.6
norway_1135,12,7159.839999999999
norway_1135,13,7241.6
norway_1135,14,7008.0
norway_1135,15,0.0
norway_1135,16,14810.24
norway_1135,17,7428.4800000000005
norway_1135,18,7954.08
norway_1135,19,7416.8
norway_1135,20,7638.719999999999
norway_1135,21,7743.839999999999
norway_1135,22,7989.12
norway_1135,23,5840.0
norway_1164,0,4742.08
norway_1164,1,5758.24
norway_1164,2,6237.120000000001
norway_1164,3,7206.56
norway_1164,4,7580.32
norway_1164,5,7872.32
norway_1164,6,7556.960000000001
norway_1164,7,7708.8
norway_1164,8,7556.960000000001
norway_1164,9,7662.08
