trace_id,t,throughput_kbps
spain_1108,0,23068.0
spain_1108,1,31676.159999999996
spain_1108,2,32271.840000000004
spain_1108,3,29748.96
spain_1108,4,35367.04
spain_1108,5,32914.240000000005
spain_1108,6,33136.159999999996
spain_1108,7,31010.4
spain_1108,8,31722.879999999997
spain_1108,9,33650.08
spain_1108,10,34023.840000000004
spain_1108,11,33988.8
spain_1108,12,30426.4
spain_1108,13,35413.759999999995
spain_1108,14,34596.159999999996
spain_1108,15,34981.6
spain_1108,16,33334.72
spain_1108,17,33626.72
spain_1108,18,28662.72
spain_1108,19,26209.92
spain_1108,20,39926.13333333333
spain_1109,0,5711.52
spain_1109,1,7498.56
spain_1109,2,8935.2
spain_1109,3,9379.039999999999
spain_1109,4,10990.880000000001
spain_1109,5,14658.4
spain_1109,6,20486.72
spain_1109,7,28183.840000000004
spain_1109,8,32972.64
spain_1109,9,32610.559999999998
spain_1109,10,25380.64
spain_1109,11,17403.2
spain_1109,12,18980.0
spain_1109,13,18571.2
spain_1109,14,19564.0
spain_1109,15,20965.6
spain_1109,16,21094.079999999998
spain_1109,17,21327.68
spain_1109,18,22951.2
spain_1109,19,25310.56
spain_1109,20,22279.6
spain_1110,0,4380.0
spain_1110,1,7872.32
spain_1110,2,8211.039999999999
spain_1110,3,9215.52
spain_1110,4,10021.439999999999
spain_1110,5,11458.08
spain_1110,6,15148.960000000001
spain_1110,7,20580.16
spain_1110,8,26174.879999999997
spain_1110,9,33731.840000000004
spain_1110,10,36208.0
spain_1110,11,36897.12
spain_1110,12,37294.240000000005
spain_1110,13,29410.24
spain_1110,14,34257.44
spain_1110,15,32003.2
spain_1110,16,34829.759999999995
spain_1110,17,36593.44
spain_1110,18,34841.44
spain_1110,19,35121.76
spain_1110,20,33463.200000000004
spain_1111,0,11563.2
spain_1111,1,14973.76
spain_1111,2,15627.84
spain_1111,3,16900.96
spain_1111,4,18092.32
spain_1111,5,21584.64
spain_1111,6,25941.28
spain_1111,7,23511.84
spain_1111,8,33393.12
spain_1111,9,34105.6
spain_1111,10,36792.0
spain_1111,11,36827.04
spain_1111,12,26864.0
spain_1111,13,27448.0
spain_1111,14,29445.28
spain_1111,15,28253.920000000002
spain_1111,16,30040.96
spain_1111,17,30204.48
spain_1111,18,30823.52
spain_1111,19,31419.2
spain_1111,20,22620.266666666666
spain_1140,0,26525.28
spain_1140,1,34923.2
spain_1140,2,29258.4
spain_1140,3,35296.96
spain_1140,4,36056.159999999996
spain_1140,5,36523.36
spain_1140,6,38006.72
spain_1140,7,41709.28
spain_1140,8,34607.840000000004
spain_1140,9,35483.840000000004
spain_1140,10,37481.119999999995
spain_1140,11,38041.759999999995
spain_1140,12,38637.44
spain_1140,13,35004.96
spain_1140,14,39349.92
spain_1140,15,38392.159999999996
spain_1140,16,20253.120000000003
spain_1140,17,31536.0
spain_1140,18,33439.840000000004
spain_1140,19,36021.12
spain_1140,20,33965.44
spain_1141,0,7229.92
spain_1141,1,9238.880000000001
spain_1141,2,10395.2
spain_1141,3,11878.56
spain_1141,4,12135.52
spain_1141,5,16655.68
spain_1141,6,22811.04
spain_1141,7,30262.879999999997
spain_1141,8,20918.879999999997
spain_1141,9,18874.879999999997
spain_1141,10,20778.72
spain_1141,11,21526.239999999998
spain_1141,12,21689.760000000002
spain_1141,13,22647.52
spain_1141,14,22098.559999999998
spain_1141,15,24551.36
spain_1141,16,25228.8
spain_1141,17,25427.36
spain_1141,18,26665.440000000002
spain_1141,19,29503.68
spain_1141,20,27097.6
spain_1142,0,21748.16
spain_1142,1,30601.6
spain_1142,2,29293.440000000002
spain_1142,3,31594.4
spain_1142,4,30484.8
spain_1142,5,23885.6
spain_1142,6,2838.2400000000002
spain_1142,7,32435.359999999997
spain_1142,8,35308.64
spain_1142,9,26303.359999999997
spain_1142,10,33942.08
spain_1142,11,33872.0
spain_1142,12,38333.759999999995
spain_1142,13,38065.12
spain_1142,14,39688.64
spain_1142,15,34128.96
spain_1142,16,38765.92
spain_1142,17,34841.44
spain_1142,18,29713.920000000002
spain_1142,19,24434.56
spain_1142,20,22659.2
spain_1143,0,21432.8
spain_1143,1,28067.04
spain_1143,2,28324.0
spain_1143,3,30765.120000000003
spain_1143,4,34164.0
spain_1143,5,34140.64
spain_1143,6,38275.36
spain_1143,7,37411.04
spain_1143,8,35425.439999999995
spain_1143,9,34596.159999999996
spain_1143,10,35051.68
spain_1143,11,35600.64
spain_1143,12,38520.64
spain_1143,13,37574.56
spain_1143,14,33019.36
spain_1143,15,35764.159999999996
spain_1143,16,37165.759999999995
spain_1143,17,35939.36
spain_1143,18,33101.12
spain_1143,19,36640.159999999996
spain_1143,20,32353.600000000002
spain_1172,0,19108.48
spain_1172,1,28148.8
spain_1172,2,30321.28
spain_1172,3,28849.6
spain_1172,4,28908.0
spain_1172,5,27377.920000000002
spain_1172,6,27903.52
spain_1172,7,29562.079999999998
spain_1172,8,25742.72
spain_1172,9,23184.8
spain_1172,10,30952.0
spain_1172,11,29188.32
spain_1172,12,23114.72
spain_1172,13,21713.120000000003
spain_1172,14,22939.52
spain_1172,15,29865.76
spain_1172,16,28943.04
spain_1172,17,26665.440000000002
spain_1172,18,2651.3599999999997
spain_1172,19,27483.039999999997
spain_1172,20,22262.079999999998
spain_1173,0,3562.4
spain_1173,1,5069.12
spain_1173,2,6155.36
spain_1173,3,7008.0
spain_1173,4,8094.24
spain_1173,5,12065.439999999999
