trace_id,t,throughput_kbps
sweden_0,0,5606.4
sweden_0,1,4952.32
sweden_0,2,4625.280000000001
sweden_0,3,5209.280000000001
sweden_0,4,5641.4400000000005
sweden_0,5,6120.32
sweden_0,6,6622.56
sweden_0,7,6844.4800000000005
sweden_0,8,6762.719999999999
sweden_0,9,7767.2
sweden_0,10,6015.2
sweden_1,0,4450.08
sweden_1,1,8981.92
sweden_1,2,9145.439999999999
sweden_1,3,9939.68
sweden_1,4,10243.36
sweden_1,5,10290.08
sweden_1,6,9671.039999999999
sweden_1,7,9998.08
sweden_1,8,2884.96
sweden_1,9,9332.32
sweden_1,10,8876.8
sweden_10,0,3912.8
sweden_10,1,5898.4
sweden_10,2,5863.36
sweden_10,3,6716.0
sweden_10,4,7837.280000000001
sweden_10,5,10278.4
sweden_10,6,9472.48
sweden_10,7,10967.52
sweden_10,8,11644.960000000001
sweden_10,9,11691.68
sweden_10,10,7942.4
sweden_1000,0,619.04
sweden_1000,1,654.0799999999999
sweden_1000,2,654.08
sweden_1000,3,642.4
sweden_1000,4,665.76
sweden_1000,5,677.4399999999999
sweden_1000,6,665.76
sweden_1000,7,700.8
sweden_1000,8,677.4399999999999
sweden_1000,9,712.4799999999999
sweden_1000,10,712.48
sweden_1000,11,759.2
sweden_1000,12,724.16
sweden_1000,13,642.4
sweden_1000,14,642.4
sweden_1000,15,350.4
sweden_1001,0,642.4
sweden_1001,1,642.4
sweden_1001,2,654.08
sweden_1001,3,654.0799999999999
sweden_1001,4,689.12
sweden_1001,5,654.0799999999999
sweden_1001,6,642.4
sweden_1001,7,665.76
sweden_1001,8,619.04
sweden_1001,9,654.0799999999999
sweden_1001,10,665.76
sweden_1001,11,747.52
sweden_1001,12,759.2
sweden_1001,13,665.76
sweden_1001,14,712.48
sweden_1001,15,735.8399999999999
sweden_1001,16,506.1333333333334
sweden_1002,0,642.4
sweden_1002,1,619.04
sweden_1002,2,642.4
sweden_1002,3,654.08
sweden_1002,4,630.72
sweden_1002,5,630.72
sweden_1002,6,630.72
sweden_1002,7,607.36
sweden_1002,8,607.36
sweden_1002,9,607.36
sweden_1002,10,619.04
sweden_1002,11,595.6800000000001
sweden_1002,12,630.72
sweden_1002,13,677.4399999999999
sweden_1002,14,713.7777777777778
sweden_1003,0,642.4
sweden_1003,1,700.8
sweden_1003,2,712.4799999999999
sweden_1003,3,607.36
sweden_1003,4,689.12
sweden_1003,5,654.0799999999999
sweden_1003,6,677.4399999999999
sweden_1003,7,677.4399999999999
sweden_1003,8,642.4
sweden_1003,9,654.08
sweden_1003,10,661.8666666666667
sweden_1008,0,560.64
sweden_1008,1,525.6
sweden_1008,2,537.28
sweden_1008,3,537.28
sweden_1008,4,513.92
sweden_1008,5,525.6
sweden_1008,6,560.64
sweden_1008,7,513.92
sweden_1008,8,537.28
sweden_1008,9,548.96
sweden_1008,10,548.96
sweden_1008,11,548.96
sweden_1008,12,548.96
sweden_1008,13,584.0
sweden_1008,14,525.6
sweden_1008,15,607.36
sweden_1008,16,496.4
sweden_1009,0,607.36
sweden_1009,1,595.6800000000001
sweden_1009,2,595.6800000000001
sweden_1009,3,548.96
sweden_1009,4,513.92
sweden_1009,5,525.6
sweden_1009,6,607.36
sweden_1009,7,595.6800000000001
sweden_1009,8,607.36
sweden_1009,9,665.76
sweden_1009,10,630.72
sweden_1009,11,607.36
sweden_1009,12,595.6800000000001
sweden_1009,13,630.72
sweden_1009,14,350.4
sweden_1010,0,630.72
sweden_1010,1,584.0
sweden_1010,2,572.3199999999999
sweden_1010,3,560.64
sweden_1010,4,572.3199999999999
sweden_1010,5,560.64
sweden_1010,6,548.96
sweden_1010,7,490.55999999999995
sweden_1010,8,548.96
sweden_1010,9,560.64
sweden_1010,10,560.64
sweden_1010,11,560.64
sweden_1010,12,560.64
sweden_1010,13,584.0
sweden_1010,14,584.0
sweden_1010,15,554.8
sweden_1011,0,630.72
sweden_1011,1,572.3199999999999
sweden_1011,2,584.0
sweden_1011,3,619.04
sweden_1011,4,584.0
sweden_1011,5,595.6800000000001
sweden_1011,6,607.36
sweden_1011,7,584.0
sweden_1011,8,607.36
sweden_1011,9,619.04
sweden_1011,10,548.96
sweden_1011,11,584.0
sweden_1011,12,630.72
sweden_1011,13,642.4
sweden_1011,14,584.0
sweden_1016,0,584.0
sweden_1016,1,654.08
sweden_1016,2,654.08
sweden_1016,3,747.52
sweden_1016,4,677.4399999999999
sweden_1016,5,607.36
sweden_1016,6,595.68
sweden_1016,7,677.4399999999999
sweden_1016,8,677.4399999999999
sweden_1016,9,677.4399999999999
sweden_1016,10,642.4
sweden_1016,11,677.4399999999999
sweden_1016,12,700.8
sweden_1016,13,677.4399999999999
sweden_1016,14,677.4399999999999
sweden_1016,15,233.6
sweden_1017,0,677.4399999999999
sweden_1017,1,700.8
sweden_1017,2,642.4
sweden_1017,3,677.4399999999999
sweden_1017,4,677.4399999999999
sweden_1017,5,665.76
sweden_1017,6,689.12
sweden_1017,7,654.08
sweden_1017,8,665.76
sweden_1017,9,665.76
sweden_1017,10,677.4399999999999
sweden_1017,11,677.4399999999999
sweden_1017,12,724.16
sweden_1017,13,700.8000000000001
sweden_1018,0,642.4
sweden_1018,1,665.76
sweden_1018,2,665.76
sweden_1018,3,595.6800000000001
sweden_1018,4,642.4
sweden_1018,5,665.76
sweden_1018,6,642.4
sweden_1018,7,677.4399999999999
sweden_1018,8,794.24
sweden_1018,9,735.8399999999999
sweden_1018,10,759.2
sweden_1018,11,805.92
sweden_1018,12,712.48
sweden_1018,13,747.52
sweden_1018,14,350.4
sweden_1019,0,630.72
sweden_1019,1,630.72
sweden_1019,2,700.8
sweden_1019,3,700.8
sweden_1019,4,654.0799999999999
sweden_1019,5,665.76
sweden_1019,6,677.4399999999999
sweden_1019,7,677.4399999999999
sweden_1019,8,595.6800000000001
sweden_1019,9,537.28
sweden_1019,10,689.12
sweden_1019,11,700.8
sweden_1019,12,665.76
sweden_1019,13,665.76
sweden_1019,14,619.04
sweden_1019,15,350.4
sweden_104,0,5185.92
sweden_104,1,9799.52
sweden_104,2,13233.439999999999
sweden_104,3,11131.039999999999
sweden_104,4,10126.560000000001
sweden_104,5,10722.240000000002
sweden_104,6,11504.8
sweden_104,7,11563.2
sweden_104,8,12591.039999999999
sweden_104,9,13128.320000000002
sweden_104,10,11524.266666666668
sweden_105,0,14494.88
sweden_105,1,22343.84
sweden_105,2,22390.56
sweden_105,3,19984.48
sweden_105,4,24726.56
sweden_105,5,22121.920000000002
sweden_105,6,21911.68
sweden_105,7,22635.84
sweden_105,8,22133.6
sweden_105,9,21923.359999999997
sweden_105,10,19778.133333333335
sweden_106,0,15522.720000000001
sweden_106,1,22507.36
sweden_106,2,22355.52
sweden_106,3,22273.760000000002
sweden_106,4,18652.96
sweden_106,5,26046.4
sweden_106,6,22250.4
sweden_106,7,21888.32
sweden_106,8,22355.52
sweden_106,9,22857.760000000002
sweden_106,10,22402.239999999998
sweden_106,11,16235.199999999999
sweden_107,0,10488.64
sweden_107,1,22192.0
sweden_107,2,21526.239999999998
sweden_107,3,21643.04
sweden_107,4,22519.04
sweden_107,5,22484.0
sweden_107,6,22565.760000000002
sweden_107,7,21596.32
sweden_107,8,21059.04
sweden_107,9,21491.2
sweden_107,10,21301.4
sweden_11,0,3398.88
sweden_11,1,5898.4
sweden_11,2,9192.16
sweden_11,3,11025.92
sweden_11,4,11142.72
sweden_11,5,11247.84
sweden_11,6,11282.88
sweden_11,7,11388.0
sweden_11,8,10990.880000000001
sweden_11,9,11201.119999999999
sweden_11,10,9133.76
sweden_1116,0,3889.44
sweden_1116,1,5174.24
sweden_1116,2,6061.92
sweden_1116,3,6704.32
sweden_1116,4,7732.160000000001
sweden_1116,5,8140.960000000001
sweden_1116,6,9355.68
sweden_1116,7,9869.6
sweden_1116,8,11656.64
sweden_1116,9,13957.6
sweden_1116,10,15207.36
sweden_1116,11,14927.039999999999
sweden_1116,12,15499.36
sweden_1116,13,15090.560000000001
sweden_1116,14,15277.439999999999
sweden_1116,15,15008.8
sweden_1116,16,15265.76
sweden_1116,17,14401.439999999999
sweden_1116,18,16036.64
sweden_1116,19,15184.0
sweden_1116,20,9460.8
sweden_1116,21,24333.333333333332
sweden_1117,0,11960.32
sweden_1117,1,15102.240000000002
sweden_1117,2,15008.8
sweden_1117,3,15359.2
sweden_1117,4,15078.88
sweden_1117,5,14997.12
sweden_1117,6,15032.16
sweden_1117,7,15359.2
sweden_1117,8,12299.039999999999
sweden_1117,9,17776.96
sweden_1117,10,15113.920000000002
sweden_1117,11,14985.439999999999
sweden_1117,12,15254.079999999998
sweden_1117,13,15207.36
sweden_1117,14,15312.48
sweden_1117,15,14763.52
sweden_1117,16,15148.960000000001
sweden_1117,17,15300.8
sweden_1117,18,15137.279999999999
sweden_1117,19,15324.16
sweden_1117,20,15000.457142857142
sweden_1118,0,8724.960000000001
sweden_1118,1,12158.880000000001
sweden_1118,2,12299.039999999999
sweden_1118,3,13502.079999999998
sweden_1118,4,13945.920000000002
sweden_1118,5,15125.6
sweden_1118,6,15032.16
sweden_1118,7,15137.279999999999
sweden_1118,8,15207.36
sweden_1118,9,14541.6
sweden_1118,10,15230.720000000001
sweden_1118,11,14658.4
sweden_1118,12,15043.84
sweden_1118,13,15008.8
sweden_1118,14,15160.64
sweden_1118,15,14903.679999999998
sweden_1118,16,15008.8
sweden_1118,17,15148.960000000001
sweden_1118,18,12205.6
sweden_1118,19,17706.88
sweden_1118,20,13535.822222222221
sweden_1119,0,11154.4
sweden_1119,1,15312.48
sweden_1119,2,14892.0
sweden_1119,3,15113.920000000002
sweden_1119,4,15195.679999999998
sweden_1119,5,15242.4
sweden_1119,6,15265.76
sweden_1119,7,15230.720000000001
sweden_1119,8,15219.039999999999
sweden_1119,9,11166.08
sweden_1119,10,19272.0
sweden_1119,11,15020.48
sweden_1119,12,15020.48
sweden_1119,13,15440.960000000001
sweden_1119,14,15195.679999999998
sweden_1119,15,15078.88
sweden_1119,16,15172.320000000002
sweden_1119,17,15148.960000000001
sweden_1119,18,15277.439999999999
sweden_1119,19,15020.48
sweden_1119,20,15440.960000000001
sweden_1119,21,7358.4
sweden_112,0,3504.0
sweden_112,1,6949.6
sweden_112,2,11107.68
sweden_112,3,14529.920000000002
sweden_112,4,8070.88
sweden_112,5,7054.719999999999
sweden_112,6,7755.5199999999995
sweden_112,7,8211.039999999999
sweden_112,8,8888.48
sweden_112,9,9530.880000000001
sweden_112,10,7504.400000000001
sweden_113,0,6517.44
sweden_113,1,11481.439999999999
sweden_113,2,14635.039999999999
sweden_113,3,15954.88
